Source,Target,Weight,Type
Gendry,Jon Snow,6.304448802421981,Undirected
Jaime Lannister,Jon Snow,7.934871565945177,Undirected
Jaime Lannister,Margaery Tyrell,0.0,Undirected
Jaime Lannister,Sansa Stark,6.912742820493176,Undirected
Jon Snow,Margaery Tyrell,0.0,Undirected
Jon Snow,Sansa Stark,7.80994708647679,Undirected
Margaery Tyrell,Sansa Stark,0.0,Undirected
Arya Stark,Sansa Stark,9.386392315756542,Undirected
Arya Stark,Jon Snow,8.257644958208228,Undirected
Beric Dondarrion,Catelyn Stark,4.454347296253507,Undirected
Black Walder Rivers,Jaime Lannister,0.0,Undirected
Brienne of Tarth,Jaime Lannister,7.673223121121708,Undirected
Cersei Lannister,Daenerys Targaryen,8.27308133366583,Undirected
Daenerys Targaryen,Jon Snow,10.08601742096504,Undirected
Cersei Lannister,Jon Snow,8.43750042250699,Undirected
Daenerys Targaryen,Tormund Giantsbane,5.37989735354046,Undirected
Dickon Tarly,Jon Snow,0.0,Undirected
Daenerys Targaryen,Lyanna Stark,6.327936783729195,Undirected
Daenerys Targaryen,Rhaegar Targaryen,6.55250788703459,Undirected
Jon Snow,Lyanna Stark,8.199189359078067,Undirected
Jon Snow,Rhaegar Targaryen,8.308938252595778,Undirected
Lyanna Stark,Rhaegar Targaryen,9.24212969446559,Undirected
Arya Stark,Bran Stark,7.935229539816907,Undirected
Arya Stark,Petyr Baelish,6.46302945692067,Undirected
Bran Stark,Petyr Baelish,4.060443010546419,Undirected
Arya Stark,Cersei Lannister,6.3561076606958915,Undirected
Arya Stark,Little Sam,7.664346632098617,Undirected
Cersei Lannister,Little Sam,5.318119993844216,Undirected
Cersei Lannister,Sansa Stark,6.546785410760524,Undirected
Jon Snow,Little Sam,6.0867747269123065,Undirected
Little Sam,Sansa Stark,8.338305731356565,Undirected
Brienne of Tarth,Tormund Giantsbane,8.233768709217097,Undirected
Arya Stark,Robb Stark,3.970291913552122,Undirected
Jon Snow,Robb Stark,4.442651256490317,Undirected
